#E_pot  E_kin  T  P
-3.718043e-05 7.295813e+02 2.924949e+02 8.076654e+02
-3.579152e-05 7.582346e+02 3.039822e+02 8.393855e+02
-3.425023e-05 7.395355e+02 2.964856e+02 8.186851e+02
-3.273423e-05 7.085285e+02 2.840546e+02 7.843595e+02
-3.128467e-05 6.956585e+02 2.788950e+02 7.701121e+02
-2.977807e-05 7.063118e+02 2.831660e+02 7.819056e+02
-2.800504e-05 7.059692e+02 2.830286e+02 7.815263e+02
-2.637150e-05 6.656545e+02 2.668661e+02 7.368968e+02
-2.498520e-05 6.693414e+02 2.683442e+02 7.409783e+02
-2.390113e-05 7.085194e+02 2.840510e+02 7.843495e+02
-2.301344e-05 6.904608e+02 2.768112e+02 7.643581e+02
-2.217353e-05 6.870250e+02 2.754337e+02 7.605546e+02
-2.144073e-05 6.667607e+02 2.673096e+02 7.381215e+02
-2.086275e-05 6.576242e+02 2.636467e+02 7.280071e+02
-2.040907e-05 6.432390e+02 2.578795e+02 7.120823e+02
-2.004700e-05 6.526684e+02 2.616599e+02 7.225209e+02
-1.975952e-05 6.810654e+02 2.730445e+02 7.539571e+02
-1.957985e-05 7.286194e+02 2.921093e+02 8.066007e+02
-1.952927e-05 7.229698e+02 2.898443e+02 8.003464e+02
-1.953385e-05 7.274885e+02 2.916559e+02 8.053487e+02
-1.944604e-05 7.402363e+02 2.967665e+02 8.194608e+02
-1.942144e-05 7.742811e+02 3.104154e+02 8.571494e+02
-1.959576e-05 7.639707e+02 3.062818e+02 8.457354e+02
-1.991954e-05 7.920466e+02 3.175377e+02 8.768162e+02
-2.041189e-05 7.594850e+02 3.044835e+02 8.407697e+02
-2.099437e-05 7.791308e+02 3.123597e+02 8.625181e+02
-2.163320e-05 7.479762e+02 2.998695e+02 8.280291e+02
-2.235860e-05 6.930824e+02 2.778622e+02 7.672603e+02
-2.313458e-05 7.023856e+02 2.815919e+02 7.775591e+02
-2.395773e-05 7.405721e+02 2.969012e+02 8.198327e+02
-2.490751e-05 7.436826e+02 2.981482e+02 8.232760e+02
-2.590599e-05 7.048281e+02 2.825711e+02 7.802631e+02
-2.689936e-05 7.022426e+02 2.815346e+02 7.774008e+02
-2.807405e-05 6.778650e+02 2.717614e+02 7.504142e+02
-2.947950e-05 7.097771e+02 2.845552e+02 7.857418e+02
-3.082181e-05 7.145043e+02 2.864504e+02 7.909749e+02
-3.224756e-05 7.145507e+02 2.864690e+02 7.910263e+02
-3.433670e-05 7.173430e+02 2.875884e+02 7.941173e+02
-3.718588e-05 7.063952e+02 2.831994e+02 7.819979e+02
-4.051449e-05 7.178197e+02 2.877796e+02 7.946451e+02
-4.394623e-05 7.128860e+02 2.858016e+02 7.891834e+02
-4.728542e-05 6.943840e+02 2.783840e+02 7.687012e+02
-5.106148e-05 7.351711e+02 2.947359e+02 8.138536e+02
-5.530738e-05 7.015320e+02 2.812497e+02 7.766142e+02
-5.904540e-05 7.466383e+02 2.993331e+02 8.265480e+02
-6.266980e-05 7.256268e+02 2.909095e+02 8.032878e+02
-6.736312e-05 7.320402e+02 2.934807e+02 8.103876e+02
-7.340191e-05 7.822366e+02 3.136048e+02 8.659563e+02
-7.977750e-05 7.628820e+02 3.058454e+02 8.445302e+02
-8.405366e-05 7.283886e+02 2.920167e+02 8.063451e+02
-8.732666e-05 7.601869e+02 3.047649e+02 8.415467e+02
-8.949187e-05 7.948239e+02 3.186512e+02 8.798908e+02
-8.994038e-05 8.041122e+02 3.223749e+02 8.901731e+02
-9.156946e-05 7.845404e+02 3.145284e+02 8.685067e+02
-9.369603e-05 7.908144e+02 3.170437e+02 8.754522e+02
-9.541876e-05 7.760115e+02 3.111091e+02 8.590650e+02
-9.621051e-05 7.593038e+02 3.044108e+02 8.405691e+02
-9.602941e-05 7.740465e+02 3.103213e+02 8.568896e+02
-9.655476e-05 7.652091e+02 3.067783e+02 8.471064e+02
-9.703481e-05 7.680856e+02 3.079315e+02 8.502907e+02
-9.720748e-05 7.454798e+02 2.988687e+02 8.252656e+02
-9.796936e-05 7.378996e+02 2.958297e+02 8.168741e+02
-9.862780e-05 7.217012e+02 2.893357e+02 7.989421e+02
-9.958496e-05 6.915399e+02 2.772438e+02 7.655527e+02
-1.004628e-04 6.993185e+02 2.803623e+02 7.741638e+02
-1.000382e-04 7.387556e+02 2.961729e+02 8.178217e+02
-9.856768e-05 7.632605e+02 3.059971e+02 8.449493e+02
-9.681297e-05 7.141630e+02 2.863136e+02 7.905970e+02
-9.662763e-05 7.225230e+02 2.896651e+02 7.998518e+02
-9.928631e-05 7.386054e+02 2.961127e+02 8.176554e+02
-1.018796e-04 7.592437e+02 3.043868e+02 8.405026e+02
-1.015993e-04 7.269173e+02 2.914268e+02 8.047164e+02
-9.993496e-05 7.513844e+02 3.012359e+02 8.318021e+02
-9.672218e-05 7.425919e+02 2.977109e+02 8.220686e+02
-9.356513e-05 7.417976e+02 2.973925e+02 8.211893e+02
-9.084231e-05 7.175457e+02 2.876697e+02 7.943418e+02
-8.801737e-05 7.084360e+02 2.840176e+02 7.842571e+02
-8.662120e-05 7.104709e+02 2.848334e+02 7.865098e+02
-8.615517e-05 7.660864e+02 3.071301e+02 8.480776e+02
-8.602942e-05 7.362903e+02 2.951846e+02 8.150925e+02
-8.525132e-05 7.682573e+02 3.080004e+02 8.504808e+02
-8.395735e-05 7.828453e+02 3.138488e+02 8.666301e+02
-8.365612e-05 7.851263e+02 3.147633e+02 8.691552e+02
-8.334993e-05 7.637837e+02 3.062069e+02 8.455284e+02
-8.269665e-05 7.844339e+02 3.144857e+02 8.683887e+02
-8.293725e-05 7.760529e+02 3.111257e+02 8.591108e+02
-8.472945e-05 7.366035e+02 2.953101e+02 8.154393e+02
-8.626596e-05 7.735601e+02 3.101263e+02 8.563512e+02
-8.657558e-05 7.764672e+02 3.112918e+02 8.595695e+02
-8.751813e-05 8.078442e+02 3.238711e+02 8.943046e+02
-8.924716e-05 7.775836e+02 3.117394e+02 8.608053e+02
-9.154414e-05 7.364184e+02 2.952359e+02 8.152343e+02
-9.478753e-05 7.318032e+02 2.933856e+02 8.101252e+02
-9.863829e-05 7.115147e+02 2.852518e+02 7.876653e+02
-1.013902e-04 7.095524e+02 2.844651e+02 7.854930e+02
-1.034446e-04 7.235605e+02 2.900811e+02 8.010003e+02
-1.044693e-04 7.530867e+02 3.019184e+02 8.336866e+02
-1.039977e-04 7.095104e+02 2.844483e+02 7.854465e+02
-1.042209e-04 7.167183e+02 2.873380e+02 7.934258e+02
-1.053958e-04 6.869443e+02 2.754014e+02 7.604653e+02
-1.067347e-04 6.734243e+02 2.699811e+02 7.454982e+02
-1.081050e-04 6.765618e+02 2.712389e+02 7.489715e+02
-1.110543e-04 7.517846e+02 3.013963e+02 8.322451e+02
-1.140479e-04 7.573401e+02 3.036236e+02 8.383952e+02
-1.147068e-04 7.305623e+02 2.928882e+02 8.087515e+02
-1.136075e-04 6.727994e+02 2.697306e+02 7.448065e+02
-1.108289e-04 7.168635e+02 2.873962e+02 7.935865e+02
-1.073287e-04 6.991912e+02 2.803112e+02 7.740228e+02
-1.029744e-04 7.168712e+02 2.873993e+02 7.935951e+02
-9.774950e-05 7.145126e+02 2.864537e+02 7.909841e+02
-9.442338e-05 7.191953e+02 2.883310e+02 7.961679e+02
-9.347290e-05 7.564182e+02 3.032540e+02 8.373746e+02
-9.394709e-05 7.635458e+02 3.061115e+02 8.452651e+02
-9.579224e-05 7.515872e+02 3.013172e+02 8.320266e+02
-9.821442e-05 7.499807e+02 3.006731e+02 8.302481e+02
-1.009864e-04 7.810156e+02 3.131153e+02 8.646046e+02
-1.055821e-04 7.489241e+02 3.002496e+02 8.290785e+02
-1.141591e-04 7.583895e+02 3.040443e+02 8.395569e+02
-1.269114e-04 7.552950e+02 3.028037e+02 8.361313e+02
-1.500300e-04 7.758090e+02 3.110279e+02 8.588407e+02
-1.953979e-04 7.803713e+02 3.128570e+02 8.638913e+02
-2.669073e-04 7.749097e+02 3.106674e+02 8.578452e+02
-3.783639e-04 7.953958e+02 3.188804e+02 8.805238e+02
-5.467025e-04 7.947186e+02 3.186089e+02 8.797742e+02
-7.682842e-04 7.864294e+02 3.152857e+02 8.705979e+02
-1.075808e-03 7.855030e+02 3.149143e+02 8.695722e+02
-1.454264e-03 7.661191e+02 3.071432e+02 8.481138e+02
