#E_pot  E_kin  T  P
-6.484197e-05 7.146405e+02 2.865050e+02 7.911257e+02
-6.334645e-05 7.528801e+02 3.018355e+02 8.334579e+02
-6.180150e-05 7.288638e+02 2.922072e+02 8.068712e+02
-6.017304e-05 7.328886e+02 2.938208e+02 8.113267e+02
-5.838304e-05 7.366090e+02 2.953123e+02 8.154454e+02
-5.666280e-05 7.306627e+02 2.929284e+02 8.088626e+02
-5.579579e-05 7.507359e+02 3.009759e+02 8.310842e+02
-5.613993e-05 7.623319e+02 3.056249e+02 8.439213e+02
-5.642679e-05 7.460104e+02 2.990814e+02 8.258529e+02
-5.611748e-05 7.462227e+02 2.991665e+02 8.260880e+02
-5.522567e-05 7.695910e+02 3.085351e+02 8.519572e+02
-5.340858e-05 7.385211e+02 2.960789e+02 8.175621e+02
-5.102980e-05 7.202051e+02 2.887359e+02 7.972859e+02
-4.863337e-05 7.225981e+02 2.896952e+02 7.999349e+02
-4.692600e-05 7.195627e+02 2.884783e+02 7.965746e+02
-4.621187e-05 7.120612e+02 2.854709e+02 7.882703e+02
-4.593558e-05 7.236696e+02 2.901248e+02 8.011211e+02
-4.555286e-05 7.014495e+02 2.812166e+02 7.765229e+02
-4.550160e-05 6.950462e+02 2.786495e+02 7.694342e+02
-4.563269e-05 7.107655e+02 2.849515e+02 7.868359e+02
-4.592602e-05 7.404606e+02 2.968565e+02 8.197091e+02
-4.694395e-05 7.484424e+02 3.000564e+02 8.285452e+02
-4.823624e-05 7.313195e+02 2.931917e+02 8.095897e+02
-4.883108e-05 7.494836e+02 3.004739e+02 8.296979e+02
-4.813778e-05 7.707289e+02 3.089913e+02 8.532170e+02
-4.651325e-05 7.755040e+02 3.109056e+02 8.585031e+02
-4.486281e-05 7.210834e+02 2.890880e+02 7.982582e+02
-4.342813e-05 7.115210e+02 2.852544e+02 7.876723e+02
-4.225504e-05 7.011217e+02 2.810852e+02 7.761600e+02
-4.138667e-05 6.887187e+02 2.761127e+02 7.624296e+02
-4.029892e-05 6.988903e+02 2.801906e+02 7.736898e+02
-3.934770e-05 6.950718e+02 2.786598e+02 7.694626e+02
-3.909008e-05 7.099127e+02 2.846096e+02 7.858919e+02
-3.998740e-05 7.343289e+02 2.943982e+02 8.129213e+02
-4.251507e-05 7.480171e+02 2.998859e+02 8.280744e+02
-4.585029e-05 7.763888e+02 3.112604e+02 8.594827e+02
-4.833071e-05 8.074537e+02 3.237145e+02 8.938722e+02
-4.932453e-05 7.595338e+02 3.045031e+02 8.408237e+02
-4.971756e-05 7.480532e+02 2.999004e+02 8.281144e+02
-4.963945e-05 7.345523e+02 2.944878e+02 8.131685e+02
-4.896115e-05 8.016308e+02 3.213801e+02 8.874262e+02
-4.858369e-05 8.231284e+02 3.299986e+02 9.112246e+02
-4.822642e-05 8.211430e+02 3.292027e+02 9.090267e+02
-4.776978e-05 7.896250e+02 3.165669e+02 8.741355e+02
-4.808516e-05 8.185955e+02 3.281814e+02 9.062065e+02
-4.956656e-05 8.197432e+02 3.286415e+02 9.074771e+02
-5.149032e-05 7.631276e+02 3.059439e+02 8.448021e+02
-5.346364e-05 7.533347e+02 3.020178e+02 8.339611e+02
-5.578751e-05 7.645635e+02 3.065195e+02 8.463918e+02
-5.854796e-05 7.816682e+02 3.133769e+02 8.653270e+02
-6.277734e-05 7.417664e+02 2.973800e+02 8.211548e+02
-6.975853e-05 7.606299e+02 3.049425e+02 8.420371e+02
-7.856293e-05 7.592711e+02 3.043977e+02 8.405329e+02
-8.913835e-05 7.673522e+02 3.076375e+02 8.494788e+02
-1.003489e-04 7.637901e+02 3.062095e+02 8.455356e+02
-1.111084e-04 7.354633e+02 2.948530e+02 8.141770e+02
-1.223721e-04 7.267272e+02 2.913506e+02 8.045059e+02
-1.282541e-04 7.062157e+02 2.831274e+02 7.817992e+02
-1.260522e-04 7.655804e+02 3.069272e+02 8.475174e+02
-1.202105e-04 7.534582e+02 3.020673e+02 8.340979e+02
