#E_pot  E_kin  T  P
-1.921583e-04 1.380078e+03 5.532840e+02 1.527782e+03
-2.029664e-04 1.510231e+03 6.054633e+02 1.671865e+03
-2.216067e-04 1.576154e+03 6.318924e+02 1.744843e+03
-2.494135e-04 1.563732e+03 6.269123e+02 1.731092e+03
-2.856600e-04 1.581379e+03 6.339872e+02 1.750628e+03
-3.297778e-04 1.554163e+03 6.230763e+02 1.720499e+03
-3.824255e-04 1.537338e+03 6.163308e+02 1.701873e+03
-4.435304e-04 1.570433e+03 6.295989e+02 1.738510e+03
-5.236873e-04 1.554265e+03 6.231171e+02 1.720612e+03
-6.324012e-04 1.512055e+03 6.061946e+02 1.673884e+03
-7.657258e-04 1.507889e+03 6.045244e+02 1.669272e+03
-8.955019e-04 1.539663e+03 6.172631e+02 1.704447e+03
-1.013447e-03 1.454038e+03 5.829354e+02 1.609658e+03
-1.127111e-03 1.419355e+03 5.690306e+02 1.571263e+03
-1.175693e-03 1.492330e+03 5.982867e+02 1.652048e+03
-1.162012e-03 1.438022e+03 5.765145e+02 1.591928e+03
-1.151814e-03 1.405156e+03 5.633379e+02 1.555544e+03
-1.171442e-03 1.392978e+03 5.584560e+02 1.542063e+03
-1.130377e-03 1.308935e+03 5.247622e+02 1.449025e+03
-1.044312e-03 1.282004e+03 5.139653e+02 1.419211e+03
-9.564485e-04 1.235067e+03 4.951481e+02 1.367252e+03
-8.969489e-04 1.264247e+03 5.068464e+02 1.399554e+03
-9.122090e-04 1.350399e+03 5.413854e+02 1.494926e+03
-9.928414e-04 1.423085e+03 5.705257e+02 1.575392e+03
-1.091151e-03 1.426936e+03 5.720699e+02 1.579655e+03
-1.163426e-03 1.428647e+03 5.727560e+02 1.581550e+03
-1.234452e-03 1.382039e+03 5.540702e+02 1.529953e+03
-1.329672e-03 1.384756e+03 5.551597e+02 1.532961e+03
-1.488477e-03 1.387073e+03 5.560886e+02 1.535526e+03
-1.730463e-03 1.406630e+03 5.639291e+02 1.557176e+03
-2.031231e-03 1.369612e+03 5.490882e+02 1.516196e+03
-2.233177e-03 1.400516e+03 5.614778e+02 1.550408e+03
-2.261111e-03 1.357465e+03 5.442183e+02 1.502749e+03
-2.379703e-03 1.395461e+03 5.594514e+02 1.544812e+03
-2.700287e-03 1.340738e+03 5.375125e+02 1.484232e+03
-2.962890e-03 1.388385e+03 5.566144e+02 1.536978e+03
-2.992088e-03 1.458123e+03 5.845731e+02 1.614180e+03
-3.109560e-03 1.450373e+03 5.814658e+02 1.605600e+03
-3.472761e-03 1.407281e+03 5.641899e+02 1.557897e+03
-4.056752e-03 1.403163e+03 5.625392e+02 1.553338e+03
-4.502633e-03 1.425762e+03 5.715992e+02 1.578356e+03
-4.644423e-03 1.321756e+03 5.299022e+02 1.463218e+03
-4.471339e-03 1.295876e+03 5.195271e+02 1.434569e+03
-3.915221e-03 1.333351e+03 5.345509e+02 1.476054e+03
-3.034837e-03 1.364015e+03 5.468443e+02 1.510000e+03
-2.176299e-03 1.321176e+03 5.296698e+02 1.462576e+03
-1.629169e-03 1.359481e+03 5.450266e+02 1.504981e+03
-1.320893e-03 1.450161e+03 5.813808e+02 1.605366e+03
-1.161481e-03 1.514012e+03 6.069793e+02 1.676051e+03
-1.093283e-03 1.502934e+03 6.025380e+02 1.663787e+03
-1.104049e-03 1.450305e+03 5.814386e+02 1.605525e+03
-1.210277e-03 1.487112e+03 5.961950e+02 1.646272e+03
-1.398469e-03 1.441556e+03 5.779311e+02 1.595840e+03
-1.618525e-03 1.430561e+03 5.735232e+02 1.583669e+03
-1.818510e-03 1.511874e+03 6.061224e+02 1.673684e+03
-1.918017e-03 1.460150e+03 5.853857e+02 1.616424e+03
-1.963761e-03 1.455028e+03 5.833320e+02 1.610753e+03
-1.927173e-03 1.501769e+03 6.020710e+02 1.662498e+03
-1.784500e-03 1.573151e+03 6.306886e+02 1.741519e+03
-1.635553e-03 1.622495e+03 6.504710e+02 1.796144e+03
-1.519565e-03 1.577907e+03 6.325954e+02 1.746784e+03
-1.518248e-03 1.605697e+03 6.437365e+02 1.777548e+03
-1.597698e-03 1.560544e+03 6.256344e+02 1.727563e+03
-1.669695e-03 1.593402e+03 6.388073e+02 1.763937e+03
-1.715957e-03 1.625248e+03 6.515748e+02 1.799192e+03
-1.729158e-03 1.593212e+03 6.387312e+02 1.763727e+03
-1.700802e-03 1.599880e+03 6.414045e+02 1.771109e+03
-1.622948e-03 1.594202e+03 6.391280e+02 1.764823e+03
-1.509896e-03 1.578644e+03 6.328909e+02 1.747600e+03
-1.438119e-03 1.512250e+03 6.062729e+02 1.674100e+03
-1.443650e-03 1.581461e+03 6.340200e+02 1.750718e+03
-1.463051e-03 1.545137e+03 6.194577e+02 1.710507e+03
-1.405057e-03 1.548018e+03 6.206127e+02 1.713697e+03
-1.294345e-03 1.495864e+03 5.997036e+02 1.655960e+03
-1.191996e-03 1.494714e+03 5.992427e+02 1.654688e+03
-1.098534e-03 1.508823e+03 6.048991e+02 1.670307e+03
-1.044239e-03 1.444151e+03 5.789716e+02 1.598713e+03
-1.001745e-03 1.437981e+03 5.764979e+02 1.591882e+03
-9.620236e-04 1.454579e+03 5.831523e+02 1.610257e+03
-9.493265e-04 1.524168e+03 6.110510e+02 1.687294e+03
-9.438208e-04 1.507294e+03 6.042859e+02 1.668614e+03
-9.436382e-04 1.538802e+03 6.169179e+02 1.703494e+03
-9.338114e-04 1.483382e+03 5.946995e+02 1.642142e+03
-9.139251e-04 1.475690e+03 5.916158e+02 1.633628e+03
-8.954815e-04 1.507998e+03 6.045682e+02 1.669393e+03
-8.637103e-04 1.550373e+03 6.215567e+02 1.716303e+03
-8.122286e-04 1.517864e+03 6.085236e+02 1.680315e+03
-7.700492e-04 1.416873e+03 5.680355e+02 1.568515e+03
-7.408803e-04 1.467048e+03 5.881511e+02 1.624060e+03
-7.079122e-04 1.603231e+03 6.427479e+02 1.774819e+03
-6.849151e-04 1.578513e+03 6.328385e+02 1.747456e+03
-6.633294e-04 1.569733e+03 6.293185e+02 1.737736e+03
-6.485036e-04 1.595177e+03 6.395190e+02 1.765902e+03
-6.395505e-04 1.692018e+03 6.783432e+02 1.873108e+03
-6.334576e-04 1.667351e+03 6.684540e+02 1.845801e+03
-6.511183e-04 1.728214e+03 6.928545e+02 1.913178e+03
-6.861425e-04 1.726604e+03 6.922089e+02 1.911395e+03
-7.463626e-04 1.722537e+03 6.905785e+02 1.906893e+03
-8.250201e-04 1.609964e+03 6.454470e+02 1.782272e+03
-9.056099e-04 1.568751e+03 6.289246e+02 1.736648e+03
-9.904764e-04 1.621859e+03 6.502160e+02 1.795440e+03
-1.063242e-03 1.663011e+03 6.667141e+02 1.840996e+03
-1.121237e-03 1.603696e+03 6.429344e+02 1.775334e+03
-1.183707e-03 1.589636e+03 6.372974e+02 1.759768e+03
-1.306061e-03 1.585227e+03 6.355299e+02 1.754887e+03
-1.520725e-03 1.545703e+03 6.196846e+02 1.711134e+03
-1.763205e-03 1.588220e+03 6.367298e+02 1.758201e+03
-1.912058e-03 1.491426e+03 5.979244e+02 1.651047e+03
-2.088723e-03 1.399679e+03 5.611422e+02 1.549481e+03
-2.317230e-03 1.428550e+03 5.727169e+02 1.581442e+03
-2.516926e-03 1.491587e+03 5.979890e+02 1.651226e+03
-2.675285e-03 1.448740e+03 5.808113e+02 1.603793e+03
-2.619088e-03 1.483522e+03 5.947556e+02 1.642298e+03
-2.380645e-03 1.475359e+03 5.914832e+02 1.633261e+03
-1.966515e-03 1.450004e+03 5.813179e+02 1.605192e+03
-1.559819e-03 1.432055e+03 5.741221e+02 1.585322e+03
-1.294961e-03 1.424787e+03 5.712081e+02 1.577276e+03
-1.083655e-03 1.514901e+03 6.073357e+02 1.677035e+03
-9.408647e-04 1.510156e+03 6.054334e+02 1.671782e+03
-8.866520e-04 1.463230e+03 5.866202e+02 1.619833e+03
-8.595537e-04 1.539222e+03 6.170861e+02 1.703958e+03
-8.206267e-04 1.444135e+03 5.789651e+02 1.598695e+03
-7.940607e-04 1.500398e+03 6.015215e+02 1.660980e+03
-7.925534e-04 1.535603e+03 6.156353e+02 1.699953e+03
-8.131877e-04 1.535408e+03 6.155572e+02 1.699737e+03
-8.501437e-04 1.476245e+03 5.918383e+02 1.634242e+03
-8.828872e-04 1.510413e+03 6.055364e+02 1.672067e+03
-9.079148e-04 1.465813e+03 5.876558e+02 1.622693e+03
-9.320060e-04 1.432021e+03 5.741084e+02 1.585284e+03
-9.677471e-04 1.507439e+03 6.043443e+02 1.668775e+03
-1.014248e-03 1.505973e+03 6.037563e+02 1.667151e+03
-1.065473e-03 1.457311e+03 5.842475e+02 1.613281e+03
-1.083226e-03 1.485071e+03 5.953766e+02 1.644012e+03
-1.047919e-03 1.584701e+03 6.353189e+02 1.754305e+03
-1.036234e-03 1.514084e+03 6.070083e+02 1.676131e+03
-1.040905e-03 1.501768e+03 6.020707e+02 1.662496e+03
-1.038018e-03 1.517427e+03 6.083485e+02 1.679832e+03
-1.014892e-03 1.501535e+03 6.019772e+02 1.662238e+03
-9.633145e-04 1.569738e+03 6.293202e+02 1.737741e+03
-8.999973e-04 1.586497e+03 6.360390e+02 1.756293e+03
-8.259988e-04 1.573687e+03 6.309036e+02 1.742113e+03
-7.694291e-04 1.419866e+03 5.692354e+02 1.571829e+03
-7.639341e-04 1.370058e+03 5.492672e+02 1.516690e+03
-8.154796e-04 1.381066e+03 5.536802e+02 1.528876e+03
-8.677447e-04 1.433633e+03 5.747548e+02 1.587069e+03
-8.903923e-04 1.402153e+03 5.621341e+02 1.552220e+03
-8.855303e-04 1.480231e+03 5.934360e+02 1.638654e+03
-8.351938e-04 1.440187e+03 5.773824e+02 1.594325e+03
-7.744370e-04 1.397773e+03 5.603783e+02 1.547371e+03
-7.255241e-04 1.410456e+03 5.654627e+02 1.561411e+03
-6.954987e-04 1.403017e+03 5.624804e+02 1.553176e+03
-6.790754e-04 1.454902e+03 5.832818e+02 1.610615e+03
-6.307943e-04 1.454028e+03 5.829314e+02 1.609647e+03
-6.044172e-04 1.396142e+03 5.597243e+02 1.545566e+03
-6.191612e-04 1.466218e+03 5.878183e+02 1.623141e+03
-6.328316e-04 1.475153e+03 5.914005e+02 1.633033e+03
-6.522560e-04 1.550584e+03 6.216412e+02 1.716537e+03
-6.952000e-04 1.589559e+03 6.372666e+02 1.759683e+03
-7.068947e-04 1.566711e+03 6.281069e+02 1.734390e+03
-6.331329e-04 1.496806e+03 6.000813e+02 1.657003e+03
-5.317376e-04 1.551106e+03 6.218505e+02 1.717115e+03
-4.590985e-04 1.494445e+03 5.991347e+02 1.654389e+03
-3.989142e-04 1.605100e+03 6.434970e+02 1.776887e+03
-3.306469e-04 1.578244e+03 6.327303e+02 1.747157e+03
-2.603010e-04 1.502120e+03 6.022116e+02 1.662886e+03
-2.080495e-04 1.475372e+03 5.914881e+02 1.633275e+03
-1.787736e-04 1.429588e+03 5.731329e+02 1.582591e+03
-1.665630e-04 1.400926e+03 5.616423e+02 1.550862e+03
-1.628087e-04 1.389242e+03 5.569581e+02 1.537927e+03
-1.580245e-04 1.384696e+03 5.551355e+02 1.532894e+03
-1.588389e-04 1.349088e+03 5.408601e+02 1.493476e+03
-1.661474e-04 1.354417e+03 5.429965e+02 1.499375e+03
-1.741391e-04 1.361673e+03 5.459054e+02 1.507407e+03
-1.885593e-04 1.364948e+03 5.472184e+02 1.511033e+03
-2.086928e-04 1.361991e+03 5.460330e+02 1.507760e+03
