#E_pot  E_kin  T  P
-2.762864e-04 7.434472e+02 2.980538e+02 8.230154e+02
-2.477331e-04 6.952469e+02 2.787299e+02 7.696564e+02
-2.235963e-04 7.671545e+02 3.075582e+02 8.492600e+02
-2.044984e-04 7.848885e+02 3.146679e+02 8.688920e+02
-1.856784e-04 7.694841e+02 3.084922e+02 8.518390e+02
-1.650451e-04 7.284542e+02 2.920430e+02 8.064178e+02
-1.484465e-04 7.333232e+02 2.939950e+02 8.118079e+02
-1.370293e-04 7.377442e+02 2.957674e+02 8.167021e+02
-1.272090e-04 7.461571e+02 2.991402e+02 8.260153e+02
-1.192757e-04 7.021838e+02 2.815110e+02 7.773358e+02
-1.142063e-04 6.677999e+02 2.677262e+02 7.392719e+02
-1.116473e-04 6.603318e+02 2.647322e+02 7.310045e+02
-1.110558e-04 6.727408e+02 2.697071e+02 7.447416e+02
-1.112174e-04 6.770092e+02 2.714183e+02 7.494668e+02
-1.110285e-04 6.852407e+02 2.747184e+02 7.585793e+02
-1.117935e-04 7.523209e+02 3.016114e+02 8.328389e+02
-1.143227e-04 7.670307e+02 3.075086e+02 8.491229e+02
-1.161719e-04 7.655889e+02 3.069306e+02 8.475269e+02
-1.160327e-04 7.728113e+02 3.098261e+02 8.555223e+02
-1.165093e-04 7.718919e+02 3.094575e+02 8.545045e+02
-1.185986e-04 7.250786e+02 2.906897e+02 8.026809e+02
-1.189567e-04 7.060956e+02 2.830793e+02 7.816662e+02
-1.189593e-04 7.385433e+02 2.960878e+02 8.175867e+02
-1.210913e-04 7.654732e+02 3.068842e+02 8.473988e+02
-1.233653e-04 8.096155e+02 3.245812e+02 8.962654e+02
-1.239664e-04 7.665992e+02 3.073356e+02 8.486453e+02
-1.231761e-04 8.007696e+02 3.210348e+02 8.864728e+02
-1.222415e-04 8.069293e+02 3.235043e+02 8.932918e+02
-1.197793e-04 8.186820e+02 3.282160e+02 9.063023e+02
-1.155540e-04 8.465189e+02 3.393761e+02 9.371184e+02
-1.126899e-04 8.502452e+02 3.408700e+02 9.412436e+02
-1.112193e-04 8.262889e+02 3.312657e+02 9.147233e+02
-1.078746e-04 8.166203e+02 3.273895e+02 9.040199e+02
-1.037161e-04 7.882644e+02 3.160214e+02 8.726293e+02
-1.014676e-04 7.763737e+02 3.112543e+02 8.594659e+02
-1.001003e-04 7.669569e+02 3.074790e+02 8.490412e+02
-9.932707e-05 7.634697e+02 3.060810e+02 8.451809e+02
-9.912573e-05 7.564189e+02 3.032543e+02 8.373754e+02
-9.971342e-05 7.652739e+02 3.068043e+02 8.471782e+02
-1.020325e-04 7.617486e+02 3.053910e+02 8.432756e+02
-1.056400e-04 7.621242e+02 3.055416e+02 8.436913e+02
-1.092528e-04 7.020650e+02 2.814634e+02 7.772043e+02
-1.118806e-04 7.280187e+02 2.918684e+02 8.059357e+02
-1.129052e-04 7.544906e+02 3.024812e+02 8.352408e+02
-1.125314e-04 7.560480e+02 3.031056e+02 8.369649e+02
-1.122547e-04 7.772114e+02 3.115901e+02 8.603932e+02
-1.126519e-04 7.707888e+02 3.090153e+02 8.532832e+02
-1.162044e-04 7.400214e+02 2.966804e+02 8.192230e+02
-1.235198e-04 7.378467e+02 2.958085e+02 8.168155e+02
-1.310973e-04 7.431390e+02 2.979302e+02 8.226742e+02
-1.364473e-04 7.521470e+02 3.015416e+02 8.326463e+02
-1.431664e-04 7.337280e+02 2.941573e+02 8.122560e+02
-1.554432e-04 7.226128e+02 2.897011e+02 7.999512e+02
-1.724570e-04 7.371095e+02 2.955130e+02 8.159994e+02
-1.932136e-04 7.437106e+02 2.981594e+02 8.233070e+02
-2.180573e-04 7.955177e+02 3.189293e+02 8.806589e+02
-2.485392e-04 8.215145e+02 3.293516e+02 9.094380e+02
