#E_pot  E_kin  T  P
-8.241302e-03 1.936476e+03 3.105393e+02 2.143729e+03
-5.839031e-03 1.955725e+03 3.136262e+02 2.165039e+03
-4.059063e-03 1.947287e+03 3.122730e+02 2.155697e+03
-2.905639e-03 1.858402e+03 2.980191e+02 2.057299e+03
-2.180784e-03 1.878822e+03 3.012938e+02 2.079905e+03
-1.691052e-03 1.889147e+03 3.029496e+02 2.091335e+03
-1.322958e-03 1.850703e+03 2.967845e+02 2.048776e+03
-1.043023e-03 1.904686e+03 3.054414e+02 2.108537e+03
-8.856244e-04 1.901766e+03 3.049732e+02 2.105305e+03
-8.019490e-04 1.845623e+03 2.959698e+02 2.043152e+03
-7.315973e-04 1.876210e+03 3.008749e+02 2.077013e+03
-6.591322e-04 1.898838e+03 3.045036e+02 2.102063e+03
-5.942896e-04 1.893606e+03 3.036646e+02 2.096271e+03
-5.406303e-04 1.869481e+03 2.997958e+02 2.069564e+03
-5.023556e-04 1.803368e+03 2.891938e+02 1.996375e+03
-4.733697e-04 1.878755e+03 3.012831e+02 2.079831e+03
-4.513217e-04 1.855145e+03 2.974969e+02 2.053694e+03
-4.351950e-04 1.882406e+03 3.018686e+02 2.083873e+03
-4.200140e-04 1.844781e+03 2.958348e+02 2.042220e+03
-4.091801e-04 1.841240e+03 2.952670e+02 2.038301e+03
-4.035470e-04 1.847960e+03 2.963446e+02 2.045739e+03
-4.035885e-04 1.820218e+03 2.918958e+02 2.015028e+03
-4.089653e-04 1.825296e+03 2.927102e+02 2.020650e+03
-4.170088e-04 1.777485e+03 2.850430e+02 1.967722e+03
-4.326320e-04 1.779036e+03 2.852919e+02 1.969440e+03
-4.552471e-04 1.802551e+03 2.890627e+02 1.995471e+03
-4.697355e-04 1.788827e+03 2.868619e+02 1.980278e+03
-4.777517e-04 1.789557e+03 2.869790e+02 1.981087e+03
-4.885933e-04 1.858308e+03 2.980040e+02 2.057195e+03
-5.105322e-04 1.924710e+03 3.086525e+02 2.130704e+03
-5.327466e-04 1.869907e+03 2.998641e+02 2.070035e+03
-5.445094e-04 1.840749e+03 2.951883e+02 2.037757e+03
-5.646908e-04 1.878431e+03 3.012311e+02 2.079472e+03
-6.113715e-04 1.930868e+03 3.096400e+02 2.137521e+03
-6.670911e-04 1.944816e+03 3.118768e+02 2.152962e+03
-6.921165e-04 1.963728e+03 3.149096e+02 2.173898e+03
-7.010359e-04 1.986892e+03 3.186242e+02 2.199541e+03
-7.166478e-04 1.965597e+03 3.152093e+02 2.175967e+03
-7.385782e-04 1.979493e+03 3.174378e+02 2.191351e+03
-7.538915e-04 1.943985e+03 3.117435e+02 2.152042e+03
-7.808649e-04 1.867530e+03 2.994830e+02 2.067405e+03
-8.381579e-04 1.916804e+03 3.073847e+02 2.121952e+03
-8.957247e-04 1.914246e+03 3.069745e+02 2.119120e+03
-9.237643e-04 1.806594e+03 2.897110e+02 1.999946e+03
-9.448605e-04 1.794638e+03 2.877938e+02 1.986711e+03
-9.784072e-04 1.790221e+03 2.870855e+02 1.981822e+03
-1.001211e-03 1.767743e+03 2.834809e+02 1.956938e+03
-1.017184e-03 1.729944e+03 2.774192e+02 1.915093e+03
-1.041484e-03 1.790276e+03 2.870943e+02 1.981882e+03
-1.061573e-03 1.862539e+03 2.986825e+02 2.061879e+03
-1.051907e-03 1.886857e+03 3.025824e+02 2.088800e+03
-1.026335e-03 1.877772e+03 3.011254e+02 2.078742e+03
-9.912572e-04 1.855818e+03 2.976048e+02 2.054439e+03
-9.530646e-04 1.873648e+03 3.004641e+02 2.074177e+03
-9.442905e-04 1.835255e+03 2.943073e+02 2.031675e+03
-9.841861e-04 1.821034e+03 2.920268e+02 2.015932e+03
-1.075057e-03 1.773645e+03 2.844273e+02 1.963471e+03
-1.204698e-03 1.783880e+03 2.860686e+02 1.974801e+03
-1.333284e-03 1.859520e+03 2.981984e+02 2.058537e+03
-1.428216e-03 1.891606e+03 3.033439e+02 2.094057e+03
-1.572031e-03 1.883962e+03 3.021180e+02 2.085595e+03
-1.735527e-03 1.922515e+03 3.083005e+02 2.128274e+03
-1.696399e-03 1.890261e+03 3.031282e+02 2.092568e+03
-1.536257e-03 1.937666e+03 3.107303e+02 2.145047e+03
-1.441581e-03 1.946695e+03 3.121781e+02 2.155042e+03
-1.415375e-03 1.961190e+03 3.145027e+02 2.171089e+03
