#E_pot  E_kin  T  P
-1.598048e-05 2.431490e+02 9.748032e+01 2.691722e+02
-1.605429e-05 2.313696e+02 9.275790e+01 2.561322e+02
-1.609014e-05 2.385871e+02 9.565143e+01 2.641221e+02
-1.604116e-05 2.401537e+02 9.627949e+01 2.658564e+02
-1.596886e-05 2.325039e+02 9.321264e+01 2.573879e+02
-1.581657e-05 2.224711e+02 8.919043e+01 2.462813e+02
-1.561416e-05 2.217711e+02 8.890976e+01 2.455063e+02
-1.546454e-05 2.227396e+02 8.929805e+01 2.465785e+02
-1.535539e-05 2.304817e+02 9.240191e+01 2.551492e+02
-1.515983e-05 2.379232e+02 9.538529e+01 2.633872e+02
-1.496121e-05 2.415027e+02 9.682031e+01 2.673497e+02
-1.476144e-05 2.352812e+02 9.432609e+01 2.604624e+02
-1.455454e-05 2.311401e+02 9.266588e+01 2.558781e+02
-1.442719e-05 2.271015e+02 9.104678e+01 2.514073e+02
-1.426582e-05 2.199964e+02 8.819829e+01 2.435418e+02
-1.401759e-05 2.108282e+02 8.452268e+01 2.333923e+02
-1.377236e-05 2.271898e+02 9.108218e+01 2.515050e+02
-1.354794e-05 2.212281e+02 8.869208e+01 2.449053e+02
-1.329543e-05 2.247200e+02 9.009203e+01 2.487709e+02
-1.304938e-05 2.285749e+02 9.163748e+01 2.530384e+02
-1.287858e-05 2.370604e+02 9.503936e+01 2.624320e+02
-1.274371e-05 2.428129e+02 9.734561e+01 2.688002e+02
-1.263507e-05 2.397126e+02 9.610266e+01 2.653681e+02
-1.257814e-05 2.425528e+02 9.724132e+01 2.685123e+02
-1.256007e-05 2.502743e+02 1.003369e+02 2.770601e+02
-1.254535e-05 2.539319e+02 1.018033e+02 2.811093e+02
-1.253768e-05 2.652244e+02 1.063305e+02 2.936103e+02
-1.253303e-05 2.629363e+02 1.054132e+02 2.910773e+02
-1.250484e-05 2.598917e+02 1.041926e+02 2.877069e+02
-1.246692e-05 2.462211e+02 9.871196e+01 2.725731e+02
-1.245040e-05 2.430101e+02 9.742466e+01 2.690185e+02
-1.245908e-05 2.503874e+02 1.003823e+02 2.771854e+02
-1.248515e-05 2.498106e+02 1.001510e+02 2.765468e+02
-1.253173e-05 2.526190e+02 1.012769e+02 2.796558e+02
-1.258433e-05 2.548858e+02 1.021857e+02 2.821653e+02
-1.267064e-05 2.488537e+02 9.976741e+01 2.754876e+02
-1.278605e-05 2.468188e+02 9.895159e+01 2.732348e+02
-1.293806e-05 2.427338e+02 9.731391e+01 2.687127e+02
-1.315348e-05 2.313519e+02 9.275078e+01 2.561125e+02
-1.338136e-05 2.296996e+02 9.208835e+01 2.542834e+02
-1.353693e-05 2.315346e+02 9.282406e+01 2.563149e+02
-1.358713e-05 2.346002e+02 9.405304e+01 2.597085e+02
-1.356379e-05 2.469313e+02 9.899671e+01 2.733594e+02
-1.348395e-05 2.462681e+02 9.873081e+01 2.726252e+02
-1.341184e-05 2.219912e+02 8.899799e+01 2.457500e+02
-1.343391e-05 2.170541e+02 8.701869e+01 2.402845e+02
-1.346189e-05 2.248059e+02 9.012646e+01 2.488660e+02
-1.342986e-05 2.273860e+02 9.116084e+01 2.517222e+02
-1.341853e-05 2.437183e+02 9.770858e+01 2.698025e+02
-1.345031e-05 2.418176e+02 9.694656e+01 2.676984e+02
-1.353488e-05 2.428966e+02 9.737917e+01 2.688929e+02
